customer_id,age,annual_income,spending_score,tenure_months,purchase_frequency,avg_order_value,product_category_preference,region,online_activity_score,loyalty_member
SEG0063,18,74656.98,68,61,7.7,134.15,Fashion,North,100,No
SEG0064,28,41648.09,26,31,3.5,90.81,Electronics,West,30,No
SEG0065,38,49443.09,71,27,4.6,130.32,Sports,East,83,Yes
SEG0066,49,49543.72,26,11,2.1,93.03,Fashion,East,70,yes
SEG0067,23,62233.08,58,35,5.9,104.26,Beauty,East,15,Yes
SEG0068,27,43927.86,43,47,6.9,78.42,Fashion,East,66,No
SEG0069,40,26477.9,64,27,7.5,162.81,Sports,North,89,Yes
SEG0070,36,18000.0,54,47,4.0,145.67,Fashion,West,46,No
SEG0071,18,23430.28,52,41,5.0,91.37,Beauty,North,55,Yes
SEG0072,18,49576.39,88,35,2.0,133.69,Fashion,West,39,Yes
SEG0073,18,52108.53,92,49,2.8,114.22,Electronics,East,62,Yes
SEG0074,43,34000.62,68,26,4.1,107.38,Beauty,West,63,Yes
SEG0075,48,69538.95,47,22,9.8,102.28,Home,West,42,No
SEG0076,21,57673.16,65,13,3.3,154.42,Electronics,South,60,No
SEG0077,63,52628.25,60,54,5.6,-10.0,Sports,East,45,Yes
SEG0078,19,28787.09,80,17,5.9,111.79,Sports,South,86,No
SEG0079,56,32493.8,64,26,5.9,155.65,Home,North,69,No
SEG0080,22,39317.48,39,30,5.9,45.73,Sports,East,41,Yes
SEG0081,35,69031.35,67,21,4.5,50.92,Fashion,East,42,No
SEG0082,27,18000.0,51,27,3.0,51.38,Electronics,East,25,Yes
SEG0083,46,18000.0,57,40,8.9,60.04,Sports,South,45,Yes
SEG0084,54,24597.84,53,41,3.9,68.49,Fashion,East,53,Yes
SEG0085,44,30863.13,59,18,7.1,89.06,Home,West,65,No
SEG0086,33,75329.19,25,11,3.4,157.94,Electronics,North,57,No
SEG0087,53,82878.43,49,1,8.1,79.18,Fashion,South,58,No
SEG0088,41,82959.99,30,32,7.1,139.46,Electronics,South,84,Yes
SEG0089,38,71497.58,59,10,1.4,90.15,electronics,South,57,No
SEG0090,33,30045.92,31,40,7.1,74.51,Electronics,East,63,No
SEG0091,52,58856.59,49,39,9.1,76.11,Electronics,East,71,Yes
SEG0092,56,42655.04,43,19,7.8,67.15,Sports,South,40,Yes
SEG0093,38,54788.41,74,33,7.1,51.57,Sports,South,50,No
SEG0094,55,63534.64,61,28,9.1,15.0,Beauty,West,56,Yes
SEG0095,18,71912.8,42,24,3.9,89.73,Beauty,North,52,Yes
SEG0096,34,70520.35,43,20,5.1,114.22,Home,West,43,No
SEG0097,26,74622.77,79,16,8.9,69.04,Home,West,21,Yes
SEG0098,47,55089.0,54,2,3.5,44.68,Fashion,South,32,No
SEG0099,18,18000.0,1,7,0.5,93.65,Sports,North,13,No
SEG0100,22,27766.38,69,72,5.7,95.59,Sports,West,50,Yes
SEG0101,48,45731.35,50,1,1.8,135.19,Home,North,44,No
SEG0102,24,50625.73,36,27,3.5,109.2,Electronics,East,38,Yes
SEG0103,23,75764.83,54,10,7.4,42.77,Beauty,East,47,Yes
SEG0104,34,101368.4,45,31,3.4,54.86,Beauty,East,47,No
SEG0105,32,85508.15,75,32,1.8,156.93,Home,South,79,Yes
SEG0106,33,50296.89,39,16,2.9,164.81,Beauty,East,74,Yes
SEG0107,36,30779.13,28,45,2.3,133.33,Fashion,,48,No
SEG0108,46,48826.76,1,29,6.9,76.95,Beauty,North,62,Yes
SEG0109,35,55423.78,35,41,4.2,78.92,Beauty,West,47,No
SEG0110,37,51962.17,69,1,6.4,54.19,Sports,East,54,No
SEG0111,30,54728.94,16,28,5.9,45.71,Fashion,West,50,Yes
SEG0112,18,53715.01,38,39,6.8,91.51,Home,North,35,No
SEG0113,38,79335.33,47,6,3.2,149.29,Home,North,59,No
SEG0114,29,37525.98,66,8,1.0,58.66,Home,East,54,Yes
SEG0115,55,53053.68,12,51,5.6,121.79,Electronics,West,71,No
SEG0116,38,64712.2,32,29,7.0,85.97,Electronics,West,62,No
SEG0117,46,48218.98,67,33,9.6,85.4,Home,North,52,Yes
SEG0118,33,44845.27,54,58,5.1,89.16,Beauty,East,55,Yes
SEG0119,26,42765.09,43,42,7.6,130.48,Fashion,West,66,Yes
SEG0120,27,61049.0,44,35,5.2,133.65,Home,West,92,Yes
SEG0121,24,70214.91,50,1,4.3,86.33,Sports,East,67,No
SEG0122,42,49049.42,1,1,4.3,142.19,Fashion,West,39,No
SEG0123,26,73205.03,57,18,3.5,65.43,Sports,East,67,Yes
SEG0124,42,27353.49,56,30,9.6,90.82,Home,North,45,Yes
SEG0125,31,46424.48,62,4,4.4,76.39,,North,68,Yes
SEG0126,50,33622.83,60,34,5.2,37.06,Electronics,West,49,No
SEG0127,51,64977.81,49,26,7.3,118.17,Beauty,South,49,No
SEG0128,18,50815.78,28,39,4.0,70.73,Beauty,North,53,Yes
SEG0129,20,18000.0,45,37,7.8,60.45,Beauty,South,67,No
SEG0130,22,,41,43,6.8,91.27,Home,East,62,No
SEG0131,32,31583.54,37,3,6.5,116.05,Fashion,North,44,Yes
SEG0132,39,50640.0,70,23,5.3,169.42,Beauty,East,61,Yes
SEG0133,31,36512.32,57,47,7.5,102.72,Sports,North,43,No
SEG0134,37,35071.16,65,1,3.1,110.78,Home,West,59,No
SEG0135,42,64803.19,35,12,3.4,69.15,Fashion,North,29,No
SEG0136,38,57511.86,47,29,3.3,111.15,Home,East,61,Yes
SEG0137,56,18000.0,62,13,-2.0,126.98,Fashion,West,84,No 
SEG0138,30,44793.7,58,23,7.7,74.87,Home,West,73,No
SEG0139,52,65280.86,46,1,5.2,50.09,Electronics,North,63,Yes
SEG0140,50,61589.71,71,26,7.9,67.51,Beauty,South,53,No
SEG0141,41,47331.85,76,23,7.0,181.38,Fashion,North,56,Yes
SEG0142,18,79682.05,49,52,7.7,119.31,Home,South,40,Yes
SEG0143,43,57120.45,59,28,6.3,71.69,Sports,South,88,Yes
SEG0144,36,45394.46,77,1,12.8,81.92,Home,West,39,No
SEG0145,20,95909.45,18,32,9.2,113.29,Beauty,South,51,Yes
SEG0146,28,52671.46,55,60,2.6,154.37,Home,North,36,No
SEG0147,31,47219.63,51,35,3.0,91.64,Electronics,West,63,No
SEG0148,42,40916.28,52,34,4.3,49.44,Sports,East,67,Yes
SEG0149,48,23863.18,90,72,6.3,125.94,Fashion,North,28,No
SEG0150,27,54261.1,44,17,6.9,70.64,Beauty,West,41,No
SEG0151,34,51346.47,31,31,9.5,999.99,Beauty,North,28,No
SEG0152,41,44594.26,70,47,3.7,58.27,Electronics,West,52,Yes
SEG0153,21,58312.89,78,9,6.3,23.58,Beauty,East,44,Yes
SEG0154,43,42742.95,27,42,7.6,91.31,Fashion,West,31,No
SEG0155,43,76223.85,62,21,3.1,40.84,Fashion,South,80,No
SEG0156,36,34340.17,70,9,4.3,72.53,Fashion,South,65,No
SEG0157,25,49462.17,75,31,8.0,48.12,Electronics,South,36,No
SEG0158,34,43803.58,100,43,6.3,87.99,Fashion,North,72,No
SEG0159,31,74684.62,17,8,3.2,62.79,Beauty,North,43,No
SEG0160,40,46593.34,92,32,3.7,86.25,Electronics,West,72,No
SEG0161,36,44921.85,60,6,3.0,67.26,Home,North,46,No
SEG0162,52,43701.09,68,49,5.5,105.04,Electronics,South,37,No
SEG0163,39,57359.73,60,1,4.2,,Beauty,East,74,No
SEG0164,40,,65,43,4.5,112.46,Fashion,East,51,Yes
SEG0165,36,70251.26,62,26,8.4,138.03,Electronics,East,56,No 
SEG0166,22,42492.94,1,30,1.3,85.72,Home,South,70,No
SEG0167,33,44478.0,69,28,9.0,143.26,Sports,North,69,No
SEG0168,18,72293.62,32,16,3.2,48.76,Home,South,79,Yes
SEG0169,37,22024.95,46,35,10.1,109.0,Beauty,South,83,Yes
SEG0170,37,73913.4,45,17,7.0,94.42,Beauty,South,78,No
SEG0171,49,42635.47,72,31,4.2,119.65,Sports,West,27,No
SEG0172,41,51268.65,76,46,2.8,,Beauty,South,61,Yes
SEG0173,42,37787.72,36,14,5.3,64.74,Beauty,North,35,No
SEG0174,27,37674.23,46,43,5.3,75.31,Beauty,north,66,Yes
SEG0175,26,42427.38,100,9,5.8,67.86,Home,South,47,No
SEG0176,27,28120.21,42,41,7.6,92.02,Beauty,North,59,No
SEG0177,44,65323.57,63,22,3.9,84.98,Fashion,North,73,Yes
SEG0178,27,31781.83,55,56,8.6,130.72,Beauty,East,86,No
SEG0179,32,48378.11,69,27,7.6,105.54,Sports,North,73,No
SEG0180,39,41277.21,70,49,6.6,74.62,,East,93,No
SEG0181,40,38021.58,73,6,6.6,115.24,Home ,East,66,Yes
SEG0182,30,86825.6,84,28,7.2,86.61,Fashion,West,78,No
SEG0183,41,36051.92,52,39,6.7,174.02,Electronics,North,50,Yes
SEG0184,49,58714.27,7,37,4.0,59.05,Sports,North,44,Yes
SEG0185,38,82981.88,31,44,7.3,86.6,Sports,East,71,No
SEG0186,31,51913.78,46,22,5.1,67.8,Electronics,north,100,Yes
SEG0187,37,79016.61,65,22,5.3,107.44,Beauty,South,50,Yes
SEG0188,42,51370.12,49,25,4.9,126.21,,South,81,No
SEG0189,40,54014.66,62,22,9.6,67.7,Home ,South,80,No
SEG0190,52,81684.62,37,55,5.0,146.34,Electronics,South,67,Yes
SEG0191,34,32331.59,76,56,3.3,103.2,Electronics,East,29,No
SEG0192,34,89592.36,81,1,7.1,88.77,Electronics,North,42,Yes
SEG0193,19,58579.66,39,6,4.3,49.97,Fashion,South,64,Yes
SEG0194,38,70968.45,20,8,6.9,79.39,Beauty,West,33,No
SEG0195,31,65390.06,61,1,1.1,69.89,Fashion,West,76,No
SEG0196,42,65353.25,78,37,3.2,131.1,Electronics,North,38,Yes
SEG0197,18,27720.0,78,38,2.3,143.85,Fashion,North,36,yes
SEG0198,35,72227.3,24,50,6.4,170.85,Beauty,North,65,Yes
SEG0199,36,31179.24,65,38,4.8,30.71,Fashion,North,65,No
SEG0200,18,55992.5,39,18,6.7,122.24,Home,West,56,No
SEG0201,46,45401.77,53,1,9.9,152.19,Fashion,South,57,No
SEG0202,33,75454.16,51,31,5.6,74.01,Fashion,West,49,Yes
SEG0203,21,66004.18,82,46,5.6,82.59,Home,South,36,Yes
SEG0204,27,56111.33,73,4,6.7,137.92,Electronics,North,47,Yes
SEG0205,29,61827.78,42,32,6.5,132.46,Home,East,86,Yes
SEG0206,49,50258.2,41,19,6.9,144.78,Beauty,East,60,Yes
SEG0207,44,59184.2,26,29,4.3,145.0,Fashion,North,21,Yes
SEG0208,28,46419.8,29,42,5.4,31.85,Electronics,North,39,No
SEG0209,27,58231.84,58,27,0.5,,Electronics,South,40,Yes
SEG0210,42,45776.1,47,1,4.5,88.15,Home,South,79,No
SEG0211,28,66479.89,40,53,6.4,83.45,Fashion,North,54,Yes
SEG0212,66,56723.47,71,1,,92.56,Sports,East,27,No
SEG0213,44,76880.16,68,37,1.1,69.22,Beauty,East,87,Yes
SEG0214,29,18810.48,38,40,3.6,122.03,Home,South,50,No
SEG0215,19,74058.16,55,59,5.1,38.25,Beauty,North,83,No
SEG0216,33,68191.51,46,28,,171.18,Sports,East,54,No
SEG0217,18,61816.1,64,18,3.3,80.8,Home,East,51,Yes
SEG0218,21,33519.27,84,4,5.9,65.4,Electronics,East,57,Yes
SEG0219,32,69658.12,28,7,0.5,172.04,Sports,North,34,Yes
SEG0220,18,42188.97,42,23,3.4,119.75,Home,North,68,Yes
SEG0221,99,19765.96,59,1,4.4,66.12,,South,59,Yes
SEG0222,41,61723.34,50,2,9.4,102.6,Sports,East,88,Yes
SEG0223,26,35360.44,85,37,3.5,94.29,Beauty,North,56,Yes
SEG0224,36,18000.0,44,22,4.8,65.4,Sports,South,58,No
SEG0225,26,29135.03,64,33,7.1,115.87,Beauty,North,70,No
SEG0226,39,66659.63,24,15,4.7,103.07,Fashion,South,62,No
SEG0227,23,50346.35,60,20,5.7,151.32,Home,West,37,No
SEG0228,18,42027.13,23,44,8.2,102.48,Beauty,East,23,Yes
SEG0229,41,38062.01,46,31,8.4,94.88,Sports,South,49,Yes
SEG0230,33,47627.77,58,40,4.1,81.14,Beauty,North,35,No
SEG0231,41,35951.38,68,48,7.6,101.0,Home,North,74,No
SEG0232,24,96847.7,48,21,4.1,91.9,Fashion,South,55,No
SEG0233,34,42917.5,14,29,6.3,147.52,Home,,55,Yes
SEG0234,19,76813.59,33,1,2.9,137.5,Electronics,South,87,No
SEG0235,35,36525.62,90,46,1.7,147.57,Sports,North,57,No
SEG0236,28,73879.31,83,23,4.8,83.75,Home,North,55,Yes
SEG0237,39,40558.3,18,1,7.3,57.2,Electronics,East,60,Yes
SEG0238,18,60277.69,73,66,7.0,116.05,Electronics,East,49,Yes
SEG0239,-4,68521.91,52,30,5.6,116.77,Home,South,41,No
SEG0240,37,33679.25,67,43,9.9,,Home,West,37,Yes
SEG0241,31,70209.09,100,24,4.9,133.51,Electronics,East,79,Yes
SEG0242,53,43813.28,57,8,5.2,152.39,Sports,North,72,No
SEG0243,36,52460.38,50,49,8.0,100.54,Sports,North,40,Yes
SEG0244,22,33094.31,69,31,7.7,174.3,Home,East,71,No
SEG0245,18,67167.74,64,49,4.8,140.23,Home,West,82,No
SEG0246,37,59251.32,73,18,1.1,129.96,Fashion,North,77,No
SEG0247,31,63285.69,21,17,8.7,146.05,Electronics,North,71,No
SEG0248,33,55773.44,63,38,2.7,64.95,Sports,North,38,Yes
SEG0249,18,49190.5,59,40,8.3,38.37,Beauty,West,77,Yes
SEG0250,29,48716.17,52,18,6.8,121.77,Home,South,51,No
SEG0251,21,51649.74,41,45,6.4,152.33,Fashion,West,27,Yes
SEG0252,46,78989.72,67,59,8.6,88.88,Electronics,West,59,Yes
SEG0253,24,57577.54,62,48,4.8,95.59,Fashion,South,44,No
SEG0254,42,54457.45,31,26,4.1,105.35,Electronics,West,51,Yes
SEG0255,55,67222.62,30,19,1.3,95.52,Fashion,North,22,No
SEG0256,21,43174.45,89,39,3.6,100.18,Fashion,East,81,Yes
SEG0257,28,73576.02,50,32,4.9,120.32,Beauty,South,42,No
SEG0258,42,21574.88,93,39,6.6,126.15,Beauty,East,69,No
SEG0259,39,42185.4,59,41,6.3,53.34,Electronics,North,40,No
SEG0260,30,65494.74,76,40,3.3,96.7,Electronics,West,50,Yes
SEG0031,38,44185.0,77,22,6.6,87.43,Home,West,63,Yes
SEG0072,18,49576.39,88,35,2.0,133.69,Fashion,West,39,Yes
SEG0220,18,42188.97,42,23,3.4,119.75,Home,North,68,Yes
SEG0185,38,82981.88,31,44,7.3,86.6,Sports,East,71,No
SEG0201,46,45401.77,53,1,9.9,152.19,Fashion,South,57,No
SEG0182,30,86825.6,84,28,7.2,86.61,Fashion,West,78,No
